siteID,siteName,status,startdate,stopdate,county,state,latitude,longitude,elevation
MO46,Mingo National Wildlife Refuge,A,03/26/2002,NULL,Stoddard,MO,36.9716,-90.1433,105
MN22,Mille Lacs Band of Ojibwe,I,04/23/2002,04/03/2007,Mille Lacs,MN,46.2053,-93.7589,384
ME95,Wolapomomqot Ciw Wocuk,I,10/04/2005,12/12/2006,Penobscot,ME,45.3406,-67.9876,182
WY07,Yellowstone National Park - Yellowstone Lake,I,02/05/2002,10/20/2004,Teton,WY,44.5654,-110.4003,2468
ON11,Point Petre,I,10/02/2001,04/01/2003,Prince Edward,ON,43.8428,-77.1536,78
KY10,Mammoth Cave National Park-Houchin Meadow,A,08/27/2002,NULL,Edmonson,KY,37.1317,-86.1480,236
MS22,Oak Grove,A,06/16/2000,NULL,Perry,MS,30.9850,-88.9319,100
SK12,Bratt's Lake BSRN,I,05/31/2001,09/27/2011,,SK,50.2003,-104.7111,593
TX50,Fort Worth,I,08/28/2001,05/16/2006,Tarrant,TX,32.6932,-97.2496,212
WI31,Devil's Lake,A,01/11/2001,NULL,Sauk,WI,43.4352,-89.6801,389
PA47,Millersville,A,11/26/2002,NULL,Lancaster,PA,39.9909,-76.3856,84
VA08,Culpeper,I,11/19/2002,12/26/2006,Culpeper,VA,38.4222,-78.1044,163
GA33,Sapelo Island,A,09/25/2007,NULL,McIntosh,GA,31.3961,-81.2811,3
OR01,Beaverton,I,04/15/2003,01/04/2011,Washington,OR,45.4704,-122.8151,81
OK99,Stilwell,A,04/29/2003,NULL,Adair,OK,35.7508,-94.6700,299
NV02,Lesperance Ranch,A,01/30/2003,NULL,Humboldt,NV,41.5033,-117.4989,1388
IN26,Fort Harrison State Park,I,04/04/2003,01/26/2010,Marion,IN,39.8583,-86.0208,260
ND01,Lostwood National Wildlife Refuge,I,11/25/2003,12/30/2008,Burke,ND,48.6424,-102.4022,692
NV99,Gibb's Ranch,A,02/13/2003,NULL,Elko,NV,41.5713,-115.2117,1849
WI32,Middle Village,I,01/22/2002,03/30/2010,Shawano,WI,44.9308,-88.7550,319
WI22,Milwaukee,A,10/03/2002,NULL,Milwaukee,WI,43.0752,-87.8843,206
AK99,Ambler,I,05/12/2004,08/09/2005,Northwest Arctic,AK,67.0931,-157.8689,88
FL32,Orlando,I,09/05/2003,09/25/2007,Orange,FL,28.5926,-81.1904,21
MD99,Beltsville,A,06/01/2004,NULL,Prince Georges,MD,39.0280,-76.8171,46
MD08,Piney Reservoir,A,06/29/2004,NULL,Garrett,MD,39.7053,-79.0122,769
NJ30,New Brunswick,A,01/17/2006,NULL,Middlesex,NJ,40.4728,-74.4226,21
HD01,Huejutla,I,10/26/2004,11/29/2005,Huejutla de Reyes,HD,21.1583,-98.3706,180
OK15,Newkirk,I,03/01/2005,05/26/2009,Kay,OK,36.9564,-97.0335,349
OH02,Athens Super Site,I,12/28/2004,12/02/2010,Athens,OH,39.3078,-82.1182,275
AB08,Esther,I,03/05/2000,05/29/2001,,AB,51.6667,-110.2000,707
ON10,Burnt Island,I,11/27/2001,04/01/2003,,ON,45.8083,-82.9500,184
NF09,Cormak,I,05/25/2000,07/14/2010,,NF,49.3214,-57.3931,172
ON07,Egbert,A,03/07/2000,NULL,,ON,44.2339,-79.7917,196
VA98,Harcum,I,12/17/2004,01/03/2012,Gloucester,VA,37.5312,-76.4928,13
